G: 1.05301849, SA: 1.05297259, diff: 4.5899999999932106e-05, Winner: G
G: 1.01987571, SA: 1.01987491, diff: 8.000000000230045e-07, Winner: G
G: 1.01072611, SA: 1.01071998, diff: 6.1300000000485966e-06, Winner: G
G: 1.00857668, SA: 1.00856779, diff: 8.889999999928122e-06, Winner: G
G: 1.58821622, SA: 1.58815274, diff: 6.348000000011567e-05, Winner: G
G: 1.00977872, SA: 1.00545588, diff: 0.004322839999999939, Winner: G
G: 2.9931815, SA: 2.99317929, diff: 2.2099999998914654e-06, Winner: G
G: 1.39625702, SA: 1.39625776, diff: 7.399999999435636e-07, Winner: SA
G: 1.99659022, SA: 1.9964986, diff: 9.162000000006998e-05, Winner: G
G: 2.17623102, SA: 2.17619578, diff: 3.523999999988092e-05, Winner: G
G: 1.83655517, SA: 1.83655142, diff: 3.750000000080078e-06, Winner: G
G: 2.315e-05, SA: 0.0, diff: 2.315e-05, Winner: G
G: 2.85838617, SA: 2.85832514, diff: 6.1030000000350526e-05, Winner: G
G: 2.8420215, SA: 2.84198235, diff: 3.915000000009883e-05, Winner: G
G: 1.96651266, SA: 1.96650668, diff: 5.980000000072039e-06, Winner: G
G: 1.00012654, SA: 0.99988546, diff: 0.0002410799999998936, Winner: G
G: 1.00160593, SA: 1.00154333, diff: 6.259999999991273e-05, Winner: G
G: 1.90215213, SA: 1.9020885, diff: 6.362999999987018e-05, Winner: G
G: 1.00177298, SA: 1.40939184, diff: 0.40761886000000014, Winner: SA
G: 0.99999975, SA: 2.17529597, diff: 1.1752962200000001, Winner: SA
G: 1.10951255, SA: 2.48780086, diff: 1.37828831, Winner: SA
G: 2.67464041, SA: 2.67463744, diff: 2.9699999997134796e-06, Winner: G
G: 1.384e-05, SA: 1.02610208, diff: 1.02608824, Winner: SA
G: 2.85428593, SA: 2.85425361, diff: 3.231999999986357e-05, Winner: G
G: 2.89736181, SA: 2.89732962, diff: 3.219000000020955e-05, Winner: G
G: 1.9510021, SA: 1.95097761, diff: 2.448999999993262e-05, Winner: G
G: 1.00904208, SA: 1.55615371, diff: 0.5471116300000001, Winner: SA
G: 1.00439743, SA: 1.00433792, diff: 5.9510000000040364e-05, Winner: G
