G: 3.64072467, SA: 3.6394429, diff: 0.0012817699999998489, Winner: G
G: 5.82305749, SA: 5.30732085, diff: 0.5157366400000001, Winner: G
G: 4.93105967, SA: 4.92509104, diff: 0.005968629999999919, Winner: G
G: 4.29053725, SA: 4.27383177, diff: 0.016705479999999717, Winner: G
G: 6.92120019, SA: 3.2943873, diff: 3.6268128900000005, Winner: G
G: 2.11153755, SA: 6.12290643, diff: 4.011368879999999, Winner: SA
G: 5.37778836, SA: 5.36828565, diff: 0.00950271000000047, Winner: G
G: 5.43699236, SA: 4.33686518, diff: 1.1001271799999994, Winner: G
G: 4.33219534, SA: 6.26559596, diff: 1.9334006199999996, Winner: SA
G: 2.88690455, SA: 6.3415956, diff: 3.4546910499999997, Winner: SA
G: 5.90765944, SA: 5.88958215, diff: 0.018077289999999913, Winner: G
G: 4.82966805, SA: 4.82838822, diff: 0.001279830000000537, Winner: G
G: 7.19666915, SA: 7.19033023, diff: 0.006338920000000137, Winner: G
G: 3.19267775, SA: 3.17429354, diff: 0.018384210000000234, Winner: G
G: 4.73761422, SA: 4.52839372, diff: 0.2092204999999998, Winner: G
G: 4.83938448, SA: 5.66897214, diff: 0.8295876600000005, Winner: SA
G: 5.23754923, SA: 5.22688542, diff: 0.010663809999999607, Winner: G
G: 8.34678885, SA: 8.34363877, diff: 0.003150079999999278, Winner: G
G: 3.47027277, SA: 3.46883751, diff: 0.0014352599999996052, Winner: G
G: 4.63813194, SA: 4.63775187, diff: 0.0003800700000002877, Winner: G
G: 4.76631913, SA: 3.9060853, diff: 0.8602338300000003, Winner: G
G: 4.0268439, SA: 4.02524405, diff: 0.0015998499999998472, Winner: G
G: 4.96354513, SA: 4.9585477, diff: 0.0049974300000004135, Winner: G
G: 2.96967081, SA: 2.96027114, diff: 0.009399670000000082, Winner: G
G: 3.76585967, SA: 4.16806763, diff: 0.40220796000000014, Winner: SA
G: 4.47764291, SA: 5.9596723, diff: 1.4820293900000001, Winner: SA
G: 5.1498798, SA: 5.56440026, diff: 0.4145204600000003, Winner: SA
G: 6.28999068, SA: 6.28624878, diff: 0.0037418999999996316, Winner: G
G: 5.82873889, SA: 5.81119712, diff: 0.017541770000000234, Winner: G
G: 6.56412121, SA: 6.56022316, diff: 0.0038980500000000973, Winner: G
G: 8.92392649, SA: 8.92249972, diff: 0.0014267700000001327, Winner: G
G: 3.58542317, SA: 5.87121309, diff: 2.2857899200000005, Winner: SA
G: 6.68517999, SA: 6.68258148, diff: 0.0025985100000003314, Winner: G
G: 3.23077542, SA: 4.22317225, diff: 0.9923968300000001, Winner: SA
G: 2.00424857, SA: 5.01382685, diff: 3.00957828, Winner: SA
G: 2.707661, SA: 5.26124915, diff: 2.5535881500000004, Winner: SA
G: 6.27878201, SA: 6.2706789, diff: 0.008103109999999525, Winner: G
G: 7.86930252, SA: 7.80363749, diff: 0.0656650299999999, Winner: G
G: 5.67720569, SA: 5.66468558, diff: 0.01252010999999964, Winner: G
G: 7.39734921, SA: 7.38451782, diff: 0.012831389999999665, Winner: G
G: 6.54990379, SA: 6.54489772, diff: 0.005006070000000307, Winner: G
G: 5.40962275, SA: 5.40107839, diff: 0.008544359999999251, Winner: G
G: 7.32833714, SA: 7.32447838, diff: 0.003858759999999961, Winner: G
G: 4.82412612, SA: 4.81537085, diff: 0.008755269999999982, Winner: G
G: 6.56063477, SA: 6.55786654, diff: 0.002768230000000038, Winner: G
G: 3.15689228, SA: 6.37518858, diff: 3.2182962999999996, Winner: SA
G: 4.22278977, SA: 4.22179046, diff: 0.0009993100000000865, Winner: G
G: 6.10020433, SA: 6.09928001, diff: 0.0009243200000002005, Winner: G
G: 4.53201727, SA: 4.85469864, diff: 0.32268136999999975, Winner: SA
G: 5.98579916, SA: 5.97682286, diff: 0.008976299999999604, Winner: G
G: 4.96935789, SA: 4.9509096, diff: 0.018448290000000256, Winner: G
G: 2.62670841, SA: 3.39143628, diff: 0.7647278700000002, Winner: SA
G: 5.16420162, SA: 5.15048672, diff: 0.013714900000000085, Winner: G
G: 3.80895896, SA: 4.90151281, diff: 1.0925538499999998, Winner: SA
G: 4.83694279, SA: 4.81074058, diff: 0.026202210000000115, Winner: G
