G: 4.3423575, SA: 2.49512281, diff: 1.8472346900000005, Winner: G
G: 3.42111987, SA: 3.4176081, diff: 0.003511770000000247, Winner: G
G: 2.49325645, SA: 4.14928948, diff: 1.6560330300000001, Winner: SA
G: 1.89154114, SA: 2.64617211, diff: 0.7546309700000002, Winner: SA
G: 2.3132305, SA: 2.44832775, diff: 0.13509724999999984, Winner: SA
G: 3.04335347, SA: 3.03910981, diff: 0.0042436600000002045, Winner: G
G: 3.59948923, SA: 3.59301479, diff: 0.006474440000000303, Winner: G
G: 2.34448691, SA: 2.34242105, diff: 0.002065860000000086, Winner: G
G: 3.37432323, SA: 3.36967806, diff: 0.004645169999999865, Winner: G
G: 4.27215977, SA: 4.27142927, diff: 0.0007305000000004114, Winner: G
G: 3.06991113, SA: 3.05381182, diff: 0.016099309999999978, Winner: G
G: 2.02283769, SA: 2.02056398, diff: 0.0022737099999998733, Winner: G
G: 1.90168112, SA: 2.25225704, diff: 0.35057592000000004, Winner: SA
G: 3.20410698, SA: 3.18881885, diff: 0.015288130000000066, Winner: G
G: 3.69354, SA: 3.69296053, diff: 0.0005794699999999153, Winner: G
G: 3.68722628, SA: 2.03245224, diff: 1.65477404, Winner: G
G: 1.79138024, SA: 2.22887787, diff: 0.43749762999999975, Winner: SA
G: 1.72064348, SA: 1.71723415, diff: 0.003409329999999988, Winner: G
G: 1.26825058, SA: 1.26263232, diff: 0.005618259999999875, Winner: G
G: 3.66476431, SA: 3.65486337, diff: 0.009900939999999636, Winner: G
G: 2.61640925, SA: 2.61185521, diff: 0.004554039999999926, Winner: G
G: 1.67672971, SA: 0.0, diff: 1.67672971, Winner: G
G: 2.77092264, SA: 2.74450065, diff: 0.02642199000000023, Winner: G
G: 4.04897452, SA: 3.21781755, diff: 0.8311569699999999, Winner: G
G: 2.35604348, SA: 2.68810406, diff: 0.33206058000000027, Winner: SA
G: 3.418225, SA: 3.41287642, diff: 0.005348580000000158, Winner: G
G: 3.26496877, SA: 3.58253278, diff: 0.31756401000000034, Winner: SA
G: 2.25391905, SA: 2.22831216, diff: 0.025606889999999716, Winner: G
G: 1.9817014, SA: 3.07759408, diff: 1.09589268, Winner: SA
G: 2.24003513, SA: 2.01737419, diff: 0.22266093999999992, Winner: G
G: 2.71819392, SA: 2.67451334, diff: 0.04368058000000019, Winner: G
G: 2.29095769, SA: 2.28450757, diff: 0.006450119999999782, Winner: G
G: 2.76977449, SA: 3.29687014, diff: 0.5270956499999997, Winner: SA
G: 2.19133438, SA: 2.17433074, diff: 0.017003639999999987, Winner: G
G: 2.65998833, SA: 3.05377185, diff: 0.39378351999999994, Winner: SA
G: 2.08784876, SA: 2.69581112, diff: 0.6079623600000001, Winner: SA
G: 4.73244473, SA: 4.72404469, diff: 0.00840003999999972, Winner: G
G: 3.0848663, SA: 3.53410966, diff: 0.4492433600000001, Winner: SA
G: 4.27665878, SA: 4.2741671, diff: 0.002491680000000329, Winner: G
G: 4.09905083, SA: 4.09616946, diff: 0.0028813700000007714, Winner: G
G: 2.4359704, SA: 2.23427606, diff: 0.20169433999999997, Winner: G
G: 3.44016004, SA: 3.43802067, diff: 0.002139370000000085, Winner: G
G: 3.14610794, SA: 3.12252391, diff: 0.023584029999999867, Winner: G
G: 1.90814822, SA: 2.94884824, diff: 1.0407000199999998, Winner: SA
G: 4.16515224, SA: 4.16461346, diff: 0.000538780000000294, Winner: G
G: 2.69415372, SA: 2.67359297, diff: 0.020560750000000017, Winner: G
G: 3.64768782, SA: 2.05931439, diff: 1.5883734299999999, Winner: G
G: 3.81557146, SA: 3.70658316, diff: 0.10898830000000004, Winner: G
G: 1.82145928, SA: 3.02469684, diff: 1.2032375599999998, Winner: SA
G: 2.60328612, SA: 5.25655764, diff: 2.6532715199999997, Winner: SA
G: 3.59778515, SA: 3.58203667, diff: 0.015748480000000065, Winner: G
G: 3.60860784, SA: 3.56325692, diff: 0.04535091999999974, Winner: G
G: 3.50501568, SA: 3.49922815, diff: 0.005787530000000096, Winner: G
G: 3.41893858, SA: 3.41365081, diff: 0.005287769999999803, Winner: G
G: 4.55261842, SA: 3.26907229, diff: 1.28354613, Winner: G
G: 3.09577934, SA: 3.08383677, diff: 0.011942569999999986, Winner: G
G: 2.84636704, SA: 2.75626001, diff: 0.09010702999999998, Winner: G
G: 3.45613849, SA: 2.71775756, diff: 0.7383809299999999, Winner: G
G: 3.28197016, SA: 3.26850866, diff: 0.013461500000000015, Winner: G
G: 2.04488709, SA: 1.99690663, diff: 0.04798046, Winner: G
G: 2.40772098, SA: 2.51303992, diff: 0.10531894000000008, Winner: SA
G: 2.94455954, SA: 2.98090777, diff: 0.03634822999999976, Winner: SA
G: 3.83046368, SA: 3.81912448, diff: 0.01133919999999966, Winner: G
G: 3.13716867, SA: 2.93105353, diff: 0.20611514000000009, Winner: G
G: 3.94902482, SA: 3.94472476, diff: 0.004300059999999828, Winner: G
G: 3.42988926, SA: 3.42503619, diff: 0.004853069999999793, Winner: G
G: 3.25351458, SA: 3.93760414, diff: 0.6840895599999999, Winner: SA
G: 2.00375694, SA: 2.26789842, diff: 0.2641414799999997, Winner: SA
G: 3.12201885, SA: 3.12132123, diff: 0.0006976199999999544, Winner: G
G: 1.88889129, SA: 1.87957028, diff: 0.009321009999999852, Winner: G
G: 2.05299109, SA: 3.60865764, diff: 1.5556665500000002, Winner: SA
G: 3.77871865, SA: 3.77435459, diff: 0.004364059999999892, Winner: G
G: 2.9152105, SA: 2.88230606, diff: 0.03290444000000026, Winner: G
G: 3.27663014, SA: 2.25207259, diff: 1.02455755, Winner: G
G: 4.08930287, SA: 4.08574394, diff: 0.003558929999999627, Winner: G
G: 2.14247107, SA: 3.11658196, diff: 0.97411089, Winner: SA
G: 2.59531372, SA: 3.13716616, diff: 0.54185244, Winner: SA
G: 4.10487405, SA: 5.38294532, diff: 1.2780712699999999, Winner: SA
G: 3.75108536, SA: 3.9530424, diff: 0.20195704000000037, Winner: SA
G: 4.82364482, SA: 4.80361525, diff: 0.020029570000000163, Winner: G
G: 1.73665541, SA: 3.6465082, diff: 1.90985279, Winner: SA
G: 2.71565591, SA: 4.7087558, diff: 1.9930998899999994, Winner: SA
G: 2.97054988, SA: 2.96964276, diff: 0.000907119999999928, Winner: G
G: 3.14024511, SA: 2.6763194, diff: 0.4639257099999998, Winner: G
G: 3.14409519, SA: 3.14039051, diff: 0.0037046799999997937, Winner: G
G: 3.86768417, SA: 3.85723398, diff: 0.010450189999999804, Winner: G
G: 2.42103366, SA: 3.26134768, diff: 0.8403140200000001, Winner: SA
G: 1.03579482, SA: 1.02665219, diff: 0.00914262999999993, Winner: G
G: 3.9988877, SA: 3.99676974, diff: 0.0021179600000000853, Winner: G
G: 3.14856453, SA: 3.14451597, diff: 0.004048559999999757, Winner: G
G: 1.74950561, SA: 3.08444268, diff: 1.33493707, Winner: SA
G: 2.60458818, SA: 2.97853073, diff: 0.3739425500000002, Winner: SA
G: 2.27028167, SA: 2.39261363, diff: 0.1223319599999999, Winner: SA
G: 2.30199445, SA: 2.3166962, diff: 0.014701749999999958, Winner: SA
G: 3.30289408, SA: 3.2911762, diff: 0.011717879999999958, Winner: G
G: 2.99170436, SA: 2.98703327, diff: 0.004671089999999989, Winner: G
G: 4.65164178, SA: 4.64155387, diff: 0.0100879100000002, Winner: G
G: 1.83812906, SA: 3.03118549, diff: 1.19305643, Winner: SA
G: 1.98696411, SA: 1.98412417, diff: 0.0028399399999998742, Winner: G
G: 3.96551213, SA: 3.95217414, diff: 0.013337990000000133, Winner: G
SA wins: 32, G wins: 68, Ties: 0
