G: 0.00012808, SA: 0.99955583, diff: 0.9994277500000001, Winner: SA
G: 1.12215501, SA: 1.72926512, diff: 0.60711011, Winner: SA
G: 1.5867177, SA: 1.00125207, diff: 0.5854656299999998, Winner: G
G: 1.01009099, SA: 1.00931722, diff: 0.0007737699999998959, Winner: G
G: 1.66529723, SA: 0.99806181, diff: 0.6672354199999999, Winner: G
G: 1.37400325, SA: 1.37095069, diff: 0.003052559999999982, Winner: G
G: 1.00021664, SA: 0.99930982, diff: 0.0009068200000000859, Winner: G
G: 2.3241848, SA: 2.32336137, diff: 0.0008234299999996253, Winner: G
G: 1.51336193, SA: 0.99956015, diff: 0.5138017800000001, Winner: G
G: 1.27616666, SA: 1.27609661, diff: 7.004999999993267e-05, Winner: G
G: 0.00012901, SA: 0.0, diff: 0.00012901, Winner: G
G: 1.14872934, SA: 1.51064439, diff: 0.3619150499999999, Winner: SA
G: 1.59608469, SA: 1.59489602, diff: 0.0011886700000001138, Winner: G
G: 1.00166494, SA: 1.00093488, diff: 0.0007300599999999768, Winner: G
G: 1.00318977, SA: 1.00996768, diff: 0.006777909999999832, Winner: SA
G: 1.00791737, SA: 1.45262759, diff: 0.44471022000000016, Winner: SA
G: 1.04250684, SA: 1.01159326, diff: 0.030913579999999996, Winner: G
G: 1.96659363, SA: 1.00455643, diff: 0.9620371999999999, Winner: G
G: 1.75029803, SA: 1.74916523, diff: 0.0011327999999999339, Winner: G
G: 1.67036814, SA: 1.66931425, diff: 0.0010538899999998907, Winner: G
G: 1.04634349, SA: 2.21347924, diff: 1.16713575, Winner: SA
G: 1.00003584, SA: 0.9984317, diff: 0.0016041399999999761, Winner: G
G: 1.03634921, SA: 1.08795339, diff: 0.05160418, Winner: SA
G: 2.09780887, SA: 2.09679019, diff: 0.0010186800000000495, Winner: G
G: 1.85618325, SA: 1.00557495, diff: 0.8506083, Winner: G
G: 1.22181184, SA: 0.99844523, diff: 0.22336661000000002, Winner: G
G: 1.11312577, SA: 0.0, diff: 1.11312577, Winner: G
G: 1.49979835, SA: 1.38445631, diff: 0.11534204000000003, Winner: G
G: 1.21877055, SA: 1.00147414, diff: 0.21729640999999988, Winner: G
G: 1.01574624, SA: 1.00094051, diff: 0.014805729999999961, Winner: G
G: 2.08351929, SA: 1.77674225, diff: 0.30677703999999983, Winner: G
G: 1.01312741, SA: 1.01212747, diff: 0.0009999400000000325, Winner: G
G: 1.16018885, SA: 1.03659906, diff: 0.12358979000000003, Winner: G
G: 1.00266905, SA: 0.99960199, diff: 0.0030670599999998993, Winner: G
G: 1.76849356, SA: 1.60179904, diff: 0.16669452000000007, Winner: G
G: 1.73561529, SA: 1.73518869, diff: 0.0004265999999999437, Winner: G
G: 1.03284053, SA: 1.03228527, diff: 0.0005552600000000574, Winner: G
