G: 1.00000085, SA: 0.96076702, diff: 0.039233829999999914, Winner: G
G: 0.99999975, SA: 0.98254964, diff: 0.017450109999999963, Winner: G
G: 1.00032516, SA: 0.0, diff: 1.00032516, Winner: G
G: 1.00005545, SA: 0.99726522, diff: 0.0027902300000001157, Winner: G
G: 1.02181098, SA: 0.98911047, diff: 0.03270050999999996, Winner: G
G: 1.00000045, SA: 0.99107163, diff: 0.008928819999999948, Winner: G
G: 1.00000997, SA: 0.00075182, diff: 0.9992581500000001, Winner: G
G: 1.00000829, SA: 0.0, diff: 1.00000829, Winner: G
G: 1.01692987, SA: 1.0071329, diff: 0.009796970000000016, Winner: G
G: 1.00000332, SA: 0.98765097, diff: 0.012352350000000012, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00000007, SA: 0.99513232, diff: 0.0048677500000000595, Winner: G
G: 3.681e-05, SA: 0.98777046, diff: 0.98773365, Winner: SA
G: 0.99999977, SA: 2.4e-07, diff: 0.99999953, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.99810891, diff: 0.0018908399999999492, Winner: G
G: 0.00014722, SA: 1e-08, diff: 0.00014721, Winner: G
G: 7.4e-07, SA: 0.97985654, diff: 0.9798557999999999, Winner: SA
G: 1.00032819, SA: 0.99168454, diff: 0.008643650000000114, Winner: G
G: 1e-08, SA: 4.73e-06, diff: 4.72e-06, Winner: SA
G: 1.00194017, SA: 0.98905057, diff: 0.012889599999999946, Winner: G
G: 1.00000186, SA: 0.99911379, diff: 0.0008880700000000186, Winner: G
G: 1.01096762, SA: 1.00961953, diff: 0.001348090000000024, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00000063, SA: 0.0, diff: 1.00000063, Winner: G
G: 1.00000639, SA: 0.99698984, diff: 0.0030165500000000067, Winner: G
G: 0.99999976, SA: 0.99637387, diff: 0.0036258900000000205, Winner: G
G: 0.0, SA: 0.98119221, diff: 0.98119221, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.0128569, SA: 0.97900298, diff: 0.03385392000000009, Winner: G
G: 2.693e-05, SA: 0.9836593, diff: 0.98363237, Winner: SA
G: 1e-08, SA: 0.96973822, diff: 0.9697382099999999, Winner: SA
G: 0.9999998, SA: 0.99474168, diff: 0.005258120000000033, Winner: G
G: 1.00004042, SA: 0.0, diff: 1.00004042, Winner: G
G: 1.00001384, SA: 1.03824865, diff: 0.03823481000000006, Winner: SA
G: 0.99999976, SA: 0.99753636, diff: 0.0024634000000000045, Winner: G
G: 1.23805943, SA: 0.0, diff: 1.23805943, Winner: G
G: 5e-08, SA: 7.702e-05, diff: 7.697e-05, Winner: SA
G: 1.0122766, SA: 2.028e-05, diff: 1.01225632, Winner: G
G: 0.99999977, SA: 0.99107488, diff: 0.008924889999999963, Winner: G
G: 1.01954161, SA: 0.96518898, diff: 0.054352630000000124, Winner: G
G: 0.99999975, SA: 0.98980632, diff: 0.010193429999999948, Winner: G
G: 1.00001043, SA: 2.436e-05, diff: 0.99998607, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00037107, SA: 0.96155683, diff: 0.03881423999999989, Winner: G
G: 7.09e-06, SA: 0.99911207, diff: 0.99910498, Winner: SA
G: 1.10443338, SA: 1.08571819, diff: 0.018715189999999993, Winner: G
G: 5.916e-05, SA: 0.99832331, diff: 0.99826415, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999978, SA: 0.99719139, diff: 0.002808389999999994, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3.5e-07, SA: 0.0, diff: 3.5e-07, Winner: G
G: 1.40523766, SA: 0.0, diff: 1.40523766, Winner: G
G: 1.00030902, SA: 0.98009467, diff: 0.020214350000000048, Winner: G
G: 1.01283121, SA: 0.97750913, diff: 0.035322080000000144, Winner: G
G: 0.00016593, SA: 4e-08, diff: 0.00016589, Winner: G
